Page,Tableau,Type,Base Column,Additional Column,Column Index
4,16,One Column,"domain. To this end, we participate to the maintain of online-based national and international communities for the dissemination of DIY and digital culture such as Feblad (federation de Fablab",,1
4,17,One Column,"to the fueling and update of online database for tutorials on non formal educational activities on digit science (fabulerie.com, wikidebrouillards.org). Lately, we have been working with the Makery team t promote events on the digital and maker culture locally and at national level.",,1
5,18,One Column,"Simone Ferrecchia, youth worker and project manager at Digijeunes, has an extensive experience i running non-formal educational activities on the following topics: - digital citizenship - digital fabrication - creative computer programming - robotics and domotics As youth worker, he ha experience working with: - NEETs - young immigrants and refugees - youth living in sensitive neighborhoods He also works as scientific mediator at Les Petits Débrouillards Occitanie, a",,1
5,19,One Column,"on the following projects on behalf of Les Petits Débrouillards: - a 2-years-long project on cnc machines and DIY culture targeting young refugees and early school leavers (since october 2015) - 2-years-long project on the societal, technical, educational aspects of digital technologies targeting youngsters living in rural areas (since summer 2015) In the past, he designed and led the following Erasmus + KA1 initiatives: a) Cultural diversity: how diverse are we?, 2014-3-FR02-KA105-009083 spring 2015. For Les Petits Débrouillards PACA b) What is life, for Association Tambour Battant, 2015-3-FR02-KA105 c) The logic of digital technologies, for Les Petits Débrouillards Occitanie, 2016-1-FR02-KA105-011159 d) technological Upcycling, will be implmented in summer 2017 on behlaf of Digijeunes, he desgined and he is coordinating the following strategic partnerships: - I Tec",,1
5,20,One Column,"Débrouillards Occitanie: Informath, 2016-1-BE01-KA201-016298. The project aims to devleop a series of toolkits to lead educational activites on mathematics in non formal contexts. The projec will run until winter 2018. Simone is fablab manager at Les Forges du Numérique, in Carcassonne. He i in charge of developing partnerships, projects, and managing maintenance of the equipment. Lately Simone has been resarching about topics at the intersection between arts and digital technoloyg, in view of launching creative workshops for youth merging artistic and technical practices. Camille Rombauts, project coordinator at Digijeunes, is another key person involved in this project. Her area of technical expertise include: - HTML, CSS & Web Design - Data Analysis - Social Media -",,1
5,21,One Column,"build a comprehensive advertising strategy and a strong presence on all online media and social media. Achievements included: - Department of Health: Created, executed and analyzed online strategies for cancer prevention for the NHS - Department of Education: Created and executed onlin strategies aiming to promote teaching opportunities in the United Kingdom including in colleges and universities. - Department for Culture, Media and Sport: Created, executed and analyzed online",,1
5,22,One Column,"university, which aims to inform, inspire and empower youth. Camille worked and contributed to the following organizations: - Silicon Drinkabout: Helped organized and lead weekly community meeting for the tech and entrepreneurial community. This included working closely with Google Campus and Facebook to organize educational and community events. - London Hackspace: As a project manager within the London Hackspace, Camille was active in shaping the direction of the",,1
5,23,One Column,"the community - St Margarets House: As a digital officer volunteer, Camille was instrumental in creating digital tools and websites that aimed to help alienated youths of the Bethnal Green community gain awareness of existing training and cultural events available within their neighborhoo At Digijeunes, Camille specializes on the following areas : - she has been delivering training courses on digital media and targeting youth workers/educators/facilitators from local partner organizations, in particular video making and online content promotion (via marketing techniques and communication strategies). - she is in charge of developing the offer for mobility activities. These",,1
6,24,One Column,"target mainly youth workkers and eduators affiliated to local partner organizations (Les petits debrouillards, Fablab pau, Les forges du numérique, etc.) - she researches on ways to integrate latest technology, (especially virtual and augmented reality) into youth work, in order to widen the offer for youth work activities.",,1
7,25,Two Columns - Base,Partner Organisations,,1
7,25,Two Columns - Base,,,1
7,25,Two Columns - Line Break,916872422,,2
7,26,Two Columns - Base,Profile,,1
7,26,Two Columns - Base,,,1
7,26,Two Columns - Line Break,Non-governmental organisation/association/social enterprise,,2
7,27,One Column,Non-governmental organisation/association/social enterprise,,1
8,28,One Column,"implementation of their personal and professional projects, especially in the digital and technologic domain. Horizon's lab main mission consists in providing the tools, the competences and networkin",,1
8,29,One Column,"available to anyone interested in these topics, regardless their skill levels, background and /or previous experience and training. Horizon lab also militates to help women advance their careers in STEM fields. To this end, it increases technical and entrepreneurial capacity of women to innovate, share wisdom and have a voice within the digital industry; and it facilitates learning and skillbuilding Its activities main activities are the following: - it provides access to open source hardwares such a microcontrollers, open source softwares and Operating systems, computer assisted design softwares, computer numeric controlled machines. It also assists organizations and institutions in t implementation of their IT strategies, priviledging exploitation of open source hardwares and",,1
8,30,One Column,"digital makers movements or to enter the digital industry, by for example suggesting trainings, courses (including on-line courses) that can equip them with the required competences and",,1
8,31,One Column,"local partner organizations (research centres, universities) related to the field of digital technologies and ICT. Via this network, Horizon lab aims to identify and better exploit training and development opportunities for its members. Horizon Lab is also active in the promotion of the italian digital make movement. To this end, it participates to public events on this topics, such as maker faires and min",,1
8,32,One Column,topics across social networks. Horizon Lab core team consists of 6 people volunteering for the organization on a permanent basis: - Catello Rosario Cioffi: community manager at HorizonLab.,,1
8,32,One Column,"Master's degree in Computer Engineering at the University of Naples Federico II. Currently, assista manager at Polytechnic University of Valencia, in charge of the European Project MANGO.",,1
8,32,One Column,"experienced trainer in electronic prototyping and computer programming with Arduino and MCUs. - Maria Amodeo: project coordinator at Horizon Lab. In the past, she acted as facilitator in two Erasmus + projects ""What is life"" and ""Youth Unemployment"". Strong technical background in web Applications and web design. Master's degree in computer engineering at the University of Naples Federico II. - Vincenzo Schettino: founder of Horizon Lab. Degree in robotics and Automation and engineering at University of Naples Federico II. He specializes in green economy and Industry 4.0.",,1
8,32,One Column,He is in charge of developing mobility projects within the Erasmus + framework on behalf of Horizo Lab. - Elena Longobardi. Youth practitioner at HorizonLab. She is in charge of developing non-form educational activities on ICT and digital technologies for youngster between 9 and 14 years of old.,,1
8,32,One Column,"2015, she acted as group leader and facilitator during a EU funded mobility project titled ""See you nature"", on inclusive education and social integration. - Ferdinando Galasso. Youth practitioner at HorizonLab. He holds a master's degree in Computer Engineering. He also volunteers for two local",,1
8,33,One Column,"mobility project titled ""Video Killed the Radio Stars"", on digital video production as a non formal educational tool. He is interested in new technologies, and how they can contribute to improving ou quality of life.",,1
9,34,More Than Two Columns,Id | Title | Activity type | Total No of Flows | Total No of Participant s | Total Budget,,All
9,35,One Column,Total No of Participant s,,1
9,36,One Column,Total No of Flows,,1
10,37,Two Columns - Base,Activity A1,,1
10,37,Two Columns - Base,,,1
10,37,Two Columns - Line Break,Mobility of youth workers - Programme Countries,,2
10,37,Two Columns - Base,,,1
10,37,Two Columns - Line Break,Training course on e-textiles,,2
11,38,One Column,Training course on e-textiles Italy France Toulouse 03-10-2018 07-10-2018 500-1999 km 2 0 2 0 0 2 5 7,,1
12,39,One Column,275.00 EUR 2 180.00 EUR 0 550.00 EUR,,1
12,40,Two Columns - Base,Organisational Support,,1
12,40,Two Columns - Base,,,1
12,40,Two Columns - Line Break,7,,2
12,40,Two Columns - Base,,,1
12,40,Two Columns - Line Break,2,,2
12,40,Two Columns - Base,,,1
12,40,Two Columns - Line Break,66.00 EUR,,2
12,40,Two Columns - Base,,,1
12,40,Two Columns - Line Break,924.00 EUR,,2
