Page,Tableau,Type,Base Column,Additional Column,Column Index
11,37,One Column,"experienced trainer in electronic prototyping and computer programming with Arduino and MCUs. - Maria Amodeo: project coordinator at Horizon Lab. In the past, she acted as facilitator in two Erasmus + projects ""What is life"" and ""Youth Unemployment"". Strong technical background in web Applications and web design. Master's degree in computer engineering at the University of Naples Federico II. - Vincenzo Schettino: founder of Horizon Lab. Degree in robotics and Automation and engineering at University of Naples Federico II. He specializes in green economy and Industry 4.0.",,1
11,37,One Column,He is in charge of developing mobility projects within the Erasmus + framework on behalf of Horizo Lab. - Elena Longobardi. Youth practitioner at HorizonLab. She is in charge of developing non-form educational activities on ICT and digital technologies for youngster between 9 and 14 years of old.,,1
11,37,One Column,"2015, she acted as group leader and facilitator during a EU funded mobility project titled ""See you nature"", on inclusive education and social integration. - Ferdinando Galasso. Youth practitioner at HorizonLab. He holds a master's degree in Computer Engineering. He also volunteers for two local mobility project titled ""Video Killed the Radio Stars"", on digital video production as a non formal educational tool. He is interested in new technologies, and how they can contribute to improving ou quality of life.",,1
12,39,Two Columns - Base,Partner Organisations,,1
12,39,Two Columns - Base,,,1
12,39,Two Columns - Line Break,911395220,,2
12,40,Two Columns - Base,Profile,,1
12,40,Two Columns - Base,,,1
12,40,Two Columns - Line Break,Group of young people active in youth work,,2
12,41,Two Columns - Base,,,1
13,42,Two Columns - Base,Legal Representative,,1
13,42,Two Columns - Base,,,1
13,42,Two Columns - Line Break,Mr,,2
13,43,Two Columns - Base,Contact Person,,1
13,43,Two Columns - Base,,,1
13,43,Two Columns - Line Break,Mr,,2
14,44,One Column,"This community started back in 2013 as first hackerspace in Tirana. The community organized a series of workshops inside and outside Albania (Athens, Crete, Prishtina, Berlin to name a few) t teach people the power of open source hardware. Since its establishment Arduino Albania has robotics and other topics related to the digital technologies. Arduino Albania militates for the promotion of maker culture and maker mindset across formal and informal education contexts in Albania and for the consolidation of ICT skills for all. Arduino Albania runs the following activities We promote Arduino (an open source electronics platform based on an easy to use hardware an software; intended for anyone making interactive projects) through various channels in our community, across people of all ages, gender and regardless their background and education. a program the arduino microcontroller) in Albanian. The long term impact that we would like to trigger i an greater awareness of open source electrocni protytping hardware in Albania (especially Arduino) and for people to employ it for personal and professaional purposes. WMKIT We worked on an educational kit called “We Make It” aka WMKIT The slogan is : “We Make It, You Hack It”. The kit is intended for anyone interested in electronic prototyping. ultimately, its ambition consists in facilitating understandin of ICT and allow people to use thel competently and confidently, and to master competences that are crucial for societal participation in the information society. The kit also aims to challenge barriers and mechanisms of marginalisation as well as high cost of education ICT unexperience users to technology enthousaists. Arduino Workshops Arduino Albania runs inform educational workshops on digital science. These cover concepts from electornic and computer workshops are participative and based upon constructivist learning approaches, in an attempt to boost interst of participants and encourage them to become independent learns as well as engag with local maker communities. the workshops are open to people of all ages (our oldest participa was 65), and to people with no previous knowledge in electornic nor computer science. Arduino Use Day the purpose of this event is to communicate on the arduino board and its possible usages, insisting on its open source feature. Arduino Albania joined the 24hours marathon run within the context of the arduino user day. the marathon was run simultanesouly in different locations across th world, thus brinign together arduin ousers from all over the globe. In 4 years we participated to 4 instances of the arduino user day, gathering overall more than 500 participants. Open Source Conference in Albania (OSCAL) in this context, arduino alabani organized a series of workshops including: -practical activities, -infobooth with hardware, -discussion and convferences about the that is projects which have a social impact, adopt new technology trends in a novel way, aim to empower citizens for individual and collective awareness, demonstrate a clear network effect, focus on supporting and working with grassroots or 'bottom-up' communities of users. Tirana Arduino Trainings A series of 8 seminars each lasting 3 hours. Arduino the seminars tackled electronics, from basic level to advanced (using sensors and actuators, communicating via devices utilizing radio frequencies). By the end of the initiative, participatns had crafted 4 functional and interactive project invomlving the arduino board. European Maker Week in Tirana In 2016, Arduino Albania was innovation in all school across Europe; to build bridges between local authorities and media and emain players of their own local makers ecosystems. For the EU maker week, Arduino Albania r workshops on Different topics from 3D printing, robotics, to FABLABS, Hand-on workshops Play’Ard Arduino Training for 15 international students from Europe Organised with EESTEC Tirana (Electrical Engineering Students' European Association)",,1
15,52,Two Columns - Base,Partner Organisations,,1
15,52,Two Columns - Base,,,1
15,52,Two Columns - Line Break,934186728,,2
15,53,Two Columns - Base,Profile,,1
15,53,Two Columns - Base,,,1
15,53,Two Columns - Line Break,Group of young people active in youth work,,2
16,54,Two Columns - Base,,,1
16,55,Two Columns - Base,Legal Representative,,1
16,55,Two Columns - Base,,,1
16,55,Two Columns - Line Break,Mrs,,2
16,56,Two Columns - Base,Contact Person,,1
16,56,Two Columns - Base,,,1
16,56,Two Columns - Line Break,Mrs,,2
17,57,One Column,"ActArt is a non for profit, that brings together youngster from Thessaloniki Greece and it's surrounding. Members of ActArt share an interest and passion in graphic design, photography, film, theater and handcraft projects as a means to inspire and motivate each other and to enhance learning within youths. We believe that the creative arts are a powerful and effective pedagogical tool, which can motivate and inspire youngsters and enrich the learning experience. Our team is composed of professional artists and amateurs who are passionate about arts, we are especially active in the field of visual arts and theatre. We have been working on several projects including exhibitions, theatre plays and workshops in our region. Additionally, we organise a weekly hands on workshop, open to the public and our members, where we can exchange and learn new artistic skills.",,1
17,57,One Column,"Most of our members have also participated in various Youth in Action Programs that involved visual arts. We have also organized two Erasmus+ KA1 training courses and taken part in two KA1 training courses as a partner organisation. We decided to take part in this specific Erasmus+ project because we believe our expertise would be valuable to the group, in particular how to use theatre within an education context, to inspire and lead youngsters to do better, and to enhance team building activities. And secondly because we believe VR and AR will be influential in the future of creative artistry and education as a whole, as such we would like to acquire the capabilities to allow us to one day use these solutions in our day to day work. https://www.facebook.com/actartyouth/",,1
17,58,Two Columns - Base,Partner Organisations,,1
17,58,Two Columns - Base,,,1
17,58,Two Columns - Line Break,949563653,,2
17,59,One Column,"Aleea Pelicanului nr.21, bl.AV35, sc.B, ap.15, et.1",,1
18,60,Two Columns - Base,Profile,,1
18,60,Two Columns - Base,,,1
18,60,Two Columns - Line Break,Non-governmental organisation/association/social enterprise,,2
18,61,One Column,Non-governmental organisation/association/social enterprise,,1
18,62,Two Columns - Base,Accreditation of Youth Volunteering Organisations,,1
18,62,Two Columns - Line Break,2015-1-RO01-KA110-023080,,2
18,63,One Column,Accreditation of Youth Volunteering Organisations,,1
18,64,Two Columns - Base,Legal Representative,,1
18,64,Two Columns - Base,,,1
18,64,Two Columns - Line Break,Mr,,2
19,65,Two Columns - Base,Contact Person,,1
19,65,Two Columns - Base,,,1
19,65,Two Columns - Line Break,Mrs,,2
20,66,One Column,"The Young Initiative Association is a Romanian nongovernmental, non-profit organization tha organizes and promotes projects in the fields of youth and education. Our main focus group are children and young adults, as they are the future leaders of our world and need to have a proper education, a proper status in society and the moral values they need to succeed in life. Our mission is they can shape a career matched to their true potential. More than 50 volunteers are currently contributing to this mission. Our Association works with young people (students, graduates, young professionals) and with abused and abandoned children from Bucharest, providing them with educational services that help them overcome obstacles (social, economical, educational) they fac and which set them apart from other children of their age. Our volunteers organise 3-4 educational workshops every week targeting this specific public. Our youth-oriented projects include BiblioLounge (a library space dedicated to youth leisure which is also offered for free to NGO needing space for free trainings, workshops and other events), Blogunteer (a national volunteering collective blog which tells the story of volunteers and of romanian NGOs), various trainings and workshops and also international projects, including EVS. We have been running for a few years th Knowledge Builders EVS project, hosting 6 volunteers for a period of 9 months in Bucharest, Romania. The volunteers are supporting the Association`s projects and are also developing new Builders project in 2015. Volunteers engaged in a vast set of activities ranging from activities relate to school's curricula to debates on ethical, philosophical issues. The diversity of EVS experiences enabled Young Initiative to grow into a recognized agent in the field of youth work in Bucharest. In the field of NGO Development, we have created the Nonprofit Organizations Management Cente (C'MON) that offers a free working space, specific trainings along with dedicated library for NGOs from Bucharest and other cities of Romania. We are currently members of the VOLUM Federation (one of the largest Romanian federations of non-profit organizations who are promoting volunteerin in the country), of the ""Acting Responsibly!""CSR Social Network (a federation that groups NGO`s, companies and public bodies in order to promote CSR activities) and of YMCA Romania (acting as Board Member and representing Bucharest Branch). In 2013 we became a founding member of FEDI (European Forum for Diversity and Interculturality), where we are also a Board Member. From 2014 we are also members of the YMCA Romania Federation. The Young Initiative Association team includes around 20 members and 30 volunteers involved in our activities. Our key staff members a trainers and facilitators, youth workers, project managers and volunteer coordinators. Young Initiative will contribute to the success of the project mainly by relying on its network of contacts (lower education institutions and NGOs) and its experience in making contact with hard to reach youngsters to run large scope non-formal educational activities on several different topics. We envisage tha local and international volunteers (EVS) will be involved in this project especially at the stages of OER pilot testing and dissemination. They will be able to provide solid feedbacks and a diversity of strategic partnership: - project management - volunteering - human resources management and operational knowledge - communication and marketing, especially on-line - social media - recruitin volunteers The key people involved in this project are: - Răzvan Sassu, based economy, with over 9 years of experience in project management at local, national and European level; - Eliza Vaș, eliza.vas@younginitiative.org, graduate and expert in European Affairs with specific skills in communication, interculturality, international relations and teaching; - Adela Fenichiu, adela.fucec@younginitiative.org, graduate in Management and PhD student in the knowledge-based organization, with skills in project management, youth work, consulting and",,1
21,71,Two Columns - Base,Partner Organisations,,1
21,71,Two Columns - Base,,,1
21,71,Two Columns - Line Break,911307823,,2
21,72,Two Columns - Base,Profile,,1
21,72,Two Columns - Base,,,1
21,72,Two Columns - Line Break,Non-governmental organisation/association/social enterprise,,2
21,73,One Column,Non-governmental organisation/association/social enterprise,,1
22,74,Two Columns - Base,,,1
22,75,Two Columns - Base,Legal Representative,,1
22,75,Two Columns - Base,,,1
22,75,Two Columns - Line Break,Mr,,2
22,76,Two Columns - Base,Contact Person,,1
22,76,Two Columns - Base,,,1
22,76,Two Columns - Line Break,Mrs,,2
23,77,One Column,"David Allistone is a co-founder and co-director of Exploring Senses CIC, a not-for profit community arts organisation located in Brighton, England. Exploring Senses provides informal creative educational activities, workshops, events and exhibitions for children, young people, families and adults. We work in partnerships with local communities, educational and arts organisations, festivals and local government in Brighton, nationally and occasionally internationally. Our activities combin arts, crafts, science, fashion, music, electronics and technology. Our main audience is young people.",,1
23,77,One Column,"We provide maker regular weekly Exploring Senses MakerLabs activities for young people living in Brighton and Hove. David also works as a freelance artist on arts commissions that are contracted to digital technology and the creation of arts objects or exhibitions. Since October 2011 David has worked in partnership with young people providing combined arts, crafts and digital activities, workshops, events and exhibitions. He has experience in working with VR and AR education and has been researching and developing participatory engagement activities, workshops, events and interactive exhibitions in Brighton and Hove that include VR and AR technologies. David also has experience in other related crossover digital technologies such as 3D scanning, 3D modeling, 3D printing, 360 degree film, digital textiles, digital sound and interactive artworks.",,1
23,79,Two Columns - Base,Partner Organisations,,1
23,79,Two Columns - Base,,,1
23,79,Two Columns - Line Break,922292491,,2
24,80,Two Columns - Base,Profile,,1
24,80,Two Columns - Base,,,1
24,80,Two Columns - Line Break,Small and medium sized enterprise,,2
24,81,Two Columns - Base,,,1
24,82,Two Columns - Base,Legal Representative,,1
24,82,Two Columns - Base,,,1
24,82,Two Columns - Line Break,Mr,,2
25,83,Two Columns - Base,Contact Person,,1
25,83,Two Columns - Base,,,1
25,83,Two Columns - Line Break,Mrs,,2
26,84,One Column,"Nod Makerspace is a place for traditional and digital fabrication, open to the general public and allowing users to access computer numeric controlled machines typically employed by professional for the purposes of quick prototyping and small scale production. In addition to providing access to cnc machines and digital prototyping, Nod makerspace provide members access to a wide variety o cotton factory, located in the centre of Bucharest. Reconversion of the factory began back in December 2015. Nod is also the gathering point of a vibrant community of makers in Bucharest, and the support needed for individuals to invest in their own projects in fields such as design, architecture, manufacture. In this framework, nod makerspace allows access to cnc machines, lase working equipment, as well as more traditional tools such as manual devices for general DIY purposes. Originally set up to provide a space for rapid digital prototyping and small scale manufacturing, Nod makerspace recently added to its assets an educational department whose ma purpose is running an managing courses, trainings, and workshops, open to anyone willing to learn about design and fabrication in different domains (architecture, art, carpentry, etc.). For the past two years, the makerspace has periodically held: - trainings courses on manufacturing tools and printing, - workshops on tailoring, applied fashion design, applied object design, leather objec manufacturing, ceramics and pottery workshops, origami making workshops, - maker team-building workshops featuring interactive and participative activities and targeting organizations, co-workers, and other groups of professionals The makerspace is engaged in promoting and supporting the maker movement across Romania. To achieve this, Nod runs initiatives such as open doors events, conferences, debates. In particular: - NODeschis: regular open doors events open to the general public (adults, children families) offering the opportunity to learn about and test manufacturing making workshops by working on their own short-term making projects. - the makerspace participated to the following events gathering the general public, as well as professionals, from different sectors: the Romanian design week (2015, 2016, 2017), the creative EST - a design festival, in 2015 and 2016-, the street delivery -an initiative on art and urban culture-, NAG - the whit night of the art galleries, in 2016- Nod makerspace runs conferences and informational events on th following topics: business mentoring, startups, crowdfunding communication campaigns, European and National project funding opportunities. Other initiatives by the makerspace relevant to this the Makerspace team in 2016, in partnership with 3 other local organizations. Presently, it serves as hub for networking and community innovation and it hosts conferences, public debates, presentations, training courses, workshops. - MATER : to be launched in October 2017, it consists a physical library hosted in a 1000m² space and featuring samples of different materials (textiles, construction materials, etc.) available for consultation in situ. The space shall also include a multipurpose area for conferences, workshops, on the topics of innovative materials available on the market. - MAKERSHOP.RO: the makerspace contributed to setting up the website and currently maintains it. Makershop.ro features items produced locally such as design objects, pieces o furniture, decoration objects available for purchase. The platform's ultimate purpose is to boost loca design and manufacture.",,1
27,91,Two Columns - Base,Partner Organisations,,1
27,91,Two Columns - Base,,,1
27,91,Two Columns - Line Break,946960076,,2
27,92,Two Columns - Base,Profile,,1
27,92,Two Columns - Base,,,1
27,92,Two Columns - Line Break,School/Institute/Educational centre – Vocational Training (secondary level),,2
27,93,One Column,School/Institute/Educational centre – Vocational Training (secondary level),,1
28,94,Two Columns - Base,,,1
28,95,Two Columns - Base,Legal Representative,,1
28,95,Two Columns - Base,,,1
28,95,Two Columns - Line Break,Mrs,,2
28,96,Two Columns - Base,Contact Person,,1
28,96,Two Columns - Base,,,1
28,96,Two Columns - Line Break,Mrs,,2
29,97,One Column,"Ventspils Vocational School (VVS) is located in Ventspils, Latvia, 15 Saules Street: a single campus joining classrooms, workshops, and student hostel. It is located in the centre of the city providing a the related advantages. In 2016 it celebrated the 110th anniversary. VVS is an educational methodical centre, and Professional Education Competence Centre (since 16/08/2011; decree No 383 of the Cabinet of Ministers of Latvia). In terms of number of curricula and students it is the second largest vocational school in Kurzeme region to offer employees suiting the needs of the groups and 9 ESF co-funded vocational education curricula. The results of the vocational qualification exams for 2015/2016 reveal – 78% of students scored “7” and more. VVS employs 65 teachers (59 – have a higher education). The vision of VVS is to become the competence centre in Northern Kurzeme – modern, prestigious, knowledge-based and quality initial vocational, life-long learning and further education service provider and professional education methodical centre. For the study year 2017/2018, VVS offers 18 curricula / students are enrolled after grade 9 or grade 12, and there is also the option to improve skills or acquire a diploma for adults, as well. Besides local premises, the students have the possibility to go abroad (internships) either within the framework o Erasmus, or Employment Agency of Latvia incentives. Since 2013/2014, some study programmes offer dual education system accounting for larger time spent at companies and gaining hands-on experience. Projects during the last 5 years: 1) 2012 - 30 student mobility to Germany, Waren, Schwerin and Rostock. 2) 2013 - 2 mobility agreements: - to Frankfurt an der Oder, Germany; Turkey – internship for 26 students. - 6 vocational subject teachers – visiting courses (incl. teacher from other schools inKurzeme region), Frankfurt an der Oder, Germany 3) 2014 - 2 mobility agreements: - 5 teachers visiting ICT, project management, language improvement courses in the United Kingdom, Spain, Portugal and Malta; - internship of 16 students in Germany, Waren and Schwerin. 4) 2016 – 2 agreements within Erasmus Plus: - strategic partnership project (students and teachers, regarding career education issues) (lead partner: Gymnasium Lehrte, Germany); - internship of 10 students in Germany, Schwerin. 5) Latvia-Lithuania cross-border project ""Enhancement of the mobility and employability of Lithuanian and Latvians specialists in the field o electrical engineering and high voltage technologies"" No.LLI-24 (LATLITHV) (lead partner: Klaipeda maritime Academy).",,1
30,100,Two Columns - Base,Project Description,,1
